"122","NUT HEX-STEEL TRIVALENT-ZINC 10MM","3180",1000,"BF-16"
"123","SCREW SET H/T GR8.8 HEX TRIV.ZINC     MM 12X35","432",350,"BF-16"
"124","SCREW M12 X 40 HEX SET 8.8 F/T","060609C82",200,"BF-16"
"125","SCREW M12 X 45 HEX SET 8.8 F/T","SSM1245Z8",450,"BF-16"
"126","WASHER FLAT STEEL BRIGHT (STD)  ZINC   MM 12X24X1.6","8349",500,"BF-16"
"127","WASHER SPRING COIL TRIV-480  MM 12X4X2.5","801",0,"BF-16"
"128","25mm Flat Head Screw ( Temp E&N Screw)","___",0,"BF-16"
"129","10G X 1 IN PAN XR SELF TAPPING","ST101PXZ",2000,"BF-16"
"130","RIVET BLIND ALUM DOME (ASP-5-2)","18289",1000,"BF-16"
"131","RIVET BLIND ALUM DOME (ASP-5-4)","RAS54",2000,"BF-16"
"132","RIVET ALUMINIUM STEEL STEM 6-8","RAS68",3000,"BF-16"
"133","6 - 12 Rivet","RAS612",300,"BF-16"
"134","M8 x 25 Stailess Steel Bolts","SSM825S",400,"BF-16"
"135","M5 x 10 Screw","060607C42",0,"BF-16"
"136","SCREW M5 X 12 PAN HD PHILIPS","060607C43",600,"BF-16"
"137","SCREW STEEL PAN-HD POZI 5X20MM","28388",800,"BF-16"
"138","M5 x 20  Screw","SSM520Z8",0,"BF-16"
"139","M5 X 20 PAN PHIL METAL THREAD","MTM520CXZ",800,"BF-16"
"140","SCREW M5 X 25 PAN HD PHILLIPS","060607C46",1000,"BF-16"
"141","SCREW M5 X 30 PAN HEAD","060607P47",1000,"BF-16"
"142","5mm Brass Spring Washer","_________",0,"BF-16"
"143","5mm Brass Flat Washer","WFM5BR",0,"BF-16"
"144","5MM BRASS NUT","NM5BR",0,"BF-16"
"145","M6 X 12 HEX SET SCREW CL 8.8 ZINC SILVER","41522",0,"BF-16"
"146","M6X16 PAN HD PHILIPS","060618C01",1200,"BF-16"
