"Ajay","123456","projectmanager","Ajith","2023-10-10 12:09:57","Edited"
"Ajay","1267652","fitter1","Bhanu","2023-10-10 12:11:14","Edited"
"Ajay","1263685","fitter1","Dulip","2023-10-10 12:11:16","Edited"
"Ajay","1267652","fitter1","Mamachan","2023-10-10 12:11:20","Edited"
"Ajay","1267652","fitter1","Mamachan","2023-10-10 12:11:31","Edited"
"Ajay","1267652","customer","","2023-10-10 12:12:12","Edited"
"Ajay","1267652","customer","","2023-10-10 12:12:16","Edited"
"Ajay","1267652","customer","","2023-10-10 12:12:36","Edited"
"Ajay","1267652","drawingno","m25-2365-454","2023-10-10 12:13:08","Edited"
"Ajay","1267652","drawingno","m25-2365-454","2023-10-10 12:13:16","Edited"
"Ajay","1267652","drawingno","m25-2365-454","2023-10-10 12:14:29","Edited"
"Ajay","1267652","drawingno","m25-2365-4544","2023-10-10 12:15:57","Edited"
"Ajay","1267652","customer","","2023-10-10 12:15:59","Edited"
"Ajay","12546","customer","NAKHJHFJHFJHFJH,FJH,FJHFHJGJK","2023-10-10 12:16:02","Edited"
"Ajay","12546","completionrate","0%","2023-10-10 12:16:09","Edited"
"Ajay","12546","completionrate","0","2023-10-10 12:23:34","Edited"
"Ajay","123445","completionrate","0","2023-10-10 12:23:35","Edited"
"Ajay","123456","completionrate","0","2023-10-10 12:23:35","Edited"
"Ajay","123477","completionrate","0","2023-10-10 12:23:37","Edited"
"Ajay","1267652","completionrate","25","2023-10-10 12:23:38","Edited"
"Ajay","12546","allocatedhrs","10","2023-10-10 12:26:48","Edited"
"Ajay","12546","completionrate","10","2023-10-10 12:26:51","Edited"
"Ajay","12546","completionrate","10","2023-10-10 12:29:48","Edited"
"Ajay","12546","completionrate","15","2023-10-10 12:33:43","Edited"
"Ajay","123456","etd","NA","2023-10-10 12:40:52","Edited"
"Ajay","123456","etd","NA","2023-10-10 12:40:57","Edited"
"Ajay","12546","completionrate","15","2023-10-10 12:41:00","Edited"
