"102","M6 x 25 CLINCH STUD ZINC SILVER","CSTUDM625Z",100,100,0,100,0.25,1,0.25,173,0,173,43.25,"2023-09-04 11:14:21","Kanban Stock",2,1
"110","M8 x 25 CLINCH STUD ZINC SILVER","CSTUDM825Z",100,100,0,100,3,100,0.03,383,0,383,11.49,"2023-09-04 11:17:58","Kanban Stock",2,1
"55","10mm Copper Lug 10mm Stud Bell","CTL10-10",100,100,0,100,0.31,1,0.31,200,0,200,62,"2023-09-04 10:45:22","Kanban Stock",2,1
"56","10mm Copper Lug 12mm Stud Bell","CTL10-12",100,100,0,100,0.28,1,0.28,100,0,100,28,"2023-09-04 10:45:39","Kanban Stock",2,1
"53","10mm X 6 Copper Lug","CTL10-6",100,100,0,100,0.31,1,0.31,462,0,462,143.22,"2023-09-04 10:44:23","Kanban Stock",2,1
"54","10 X 8 Copper Lug","CTL10-8",100,100,0,100,0.27,1,0.27,100,0,100,27,"2023-10-04 09:51:54","Kanban Stock",2,0
"79.3","120MM COPPER LUG 10MM STUD BELL","CTL120-10",30,90,30,60,2.19,1,2.19,30,60,90,197.1,"2023-09-20 09:33:25","Kanban Stock",2,0
"79.1","120MM COPPER LUG 8MM STUD BELL","CTL120-8",30,90,30,60,2.19,1,2.19,20,240,260,569.4,"2023-09-04 11:01:22","Kanban Stock",2,1
"82","150mm Cpr Lug 10mm Stud Bell","CTL150-10",20,80,20,60,4.69,1,4.69,7,120,127,595.63,"2023-09-04 11:03:28","Kanban Stock",2,0
"81","150mm Copper Lug 8mm Stud Bell","CTL150-8",20,80,20,60,3.02,1,3.02,23,269,292,881.84,"2023-09-04 11:03:05","Kanban Stock",2,0
"59","16mm Copper Lug 10mm Stud Bell","CTL16-10",100,300,100,200,0.46,1,0.46,135,610,745,342.7,"2023-09-04 10:46:59","Kanban Stock",2,0
"57","16mm Copper Lug 6mm Stud Bell","CTL16-6",100,100,0,100,0.32,1,0.32,251,250,501,160.32,"2023-09-04 10:45:55","Kanban Stock",2,0
"58","16mm Copper Lug 8mm Stud Bell","CTL16-8",200,600,200,400,0.36,1,0.36,200,0,200,72,"2023-09-20 09:22:52","Kanban Stock",2,0
"83.1","185mm Copper Lug 10mm Stud Bell","CTL185-10",20,80,40,40,3.36,1,3.36,20,60,80,268.8,"2023-09-06 12:44:48","Kanban Stock",2,0
"85","240mm COPPER LUG 10mm STUD BELL","CTL240-10",10,50,30,20,7.72,1,7.72,10,30,40,308.8,"2023-10-06 09:45:34","Kanban Stock",2,0
"62","25mm Copper Lug 10mm Stud Bell","CTL25-10",100,300,100,200,0.5,1,0.5,115,400,515,257.5,"2023-09-04 10:48:53","Kanban Stock",2,0
"60","25mm Copper Lug 6mm Stud Bell","CTL25-6",100,100,0,100,0.48,1,0.48,172,490,662,317.76,"2023-09-04 10:47:46","Kanban Stock",2,0
"61","25mm Copper Lug 8mm Stud Bell","CTL25-8",200,600,200,400,0.44,1,0.44,200,0,200,88,"2023-10-04 10:02:18","Kanban Stock",2,0
"65","35 X 10mm LUG","CTL35-10",100,300,100,200,0.6,1,0.6,129,120,249,149.4,"2023-09-04 10:50:24","Kanban Stock",2,0
